Place,Age,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
West Slovakia,58 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27124,27424,27818,27776,26980,26287,24919,25039
West Slovakia,59 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27180,26887,27160,27576,27511,26746,26050,24703
West Slovakia,60 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26231,26893,26618,26861,27322,27255,26454,25778
West Slovakia,61 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24779,25931,26578,26288,26522,27021,26904,26121
West Slovakia,62 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22205,24493,25583,26212,25953,26243,26711,26596
West Slovakia,63 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21526,21897,24200,25249,25852,25613,25889,26397
West Slovakia,64 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20409,21180,21564,23869,24836,25458,25261,25554
West Slovakia,65 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18014,20079,20884,21243,23506,24468,25052,24863
West Slovakia,66 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16360,17673,19730,20529,20921,23091,24087,24604
West Slovakia,67 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17014,16023,17336,19357,20114,20545,22742,23632
West Slovakia,68 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,16661,15728,17003,18973,19707,20163,22277
West Slovakia,69 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15259,15327,16293,15361,16626,18579,19259,19715
West Slovakia,70 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14577,14879,14984,15910,15036,16226,18177,18855
West Slovakia,71 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14380,14196,14458,14592,15493,14628,15790,17749
West Slovakia,72 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13189,13975,13788,14046,14195,15090,14197,15336
West Slovakia,73 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12009,12750,13546,13388,13633,13752,14616,13771
West Slovakia,74 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11256,11586,12316,13089,12948,13216,13273,14143
West Slovakia,75 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10672,10787,11153,11878,12589,12486,12727,12834
West Slovakia,76 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10420,10175,10329,10663,11400,12051,12009,12213
West Slovakia,77 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9656,9917,9719,9838,10145,10863,11504,11463
West Slovakia,78 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9371,9116,9458,9233,9345,9669,10297,10919
West Slovakia,79 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9068,8848,8619,8969,8685,8836,9098,9732
West Slovakia,80 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8216,8455,8233,8050,8408,8176,8326,8550
West Slovakia,81 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7693,7570,7838,7620,7456,7853,7620,7716
West Slovakia,82 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6788,7035,6910,7193,6998,6877,7253,7043
West Slovakia,83 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5949,6140,6422,6285,6534,6385,6298,6651
West Slovakia,84 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5353,5277,5543,5780,5660,5935,5741,5690
West Slovakia,85 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4487,4749,4680,5003,5084,5019,5275,5124
West Slovakia,86 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3792,3881,4122,4139,4359,4423,4422,4654
West Slovakia,87 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3221,3237,3383,3558,3571,3759,3783,3827
West Slovakia,88 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2869,2721,2783,2866,3004,3032,3215,3232
West Slovakia,89 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,2394,2299,2339,2373,2504,2504,2690
West Slovakia,90 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752,1844,1934,1923,1937,1939,2061,2061
West Slovakia,91 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,1390,1500,1578,1547,1554,1535,1673
West Slovakia,92 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,940,1072,1200,1239,1242,1223,1217
West Slovakia,93 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,699,733,812,931,951,987,977
West Slovakia,94 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,241,520,563,615,728,735,753
West Slovakia,95 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,211,181,401,423,467,541,560
West Slovakia,96 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,164,160,152,294,339,337,409
West Slovakia,97 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,141,125,124,117,215,267,258
West Slovakia,98 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,119,103,101,101,97,165,207
West Slovakia,99 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,73,86,76,82,79,81,133
West Slovakia,100 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,62,60,64,66,60,65,69
West Slovakia,101 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,52,51,47,53,58,46,62
West Slovakia,102 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,44,41,44,45,48,41
West Slovakia,103 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,41,37,42,41,46
West Slovakia,104 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,40,35,41,42
West Slovakia,105 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,37,33,36
West Slovakia,106 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,35,32
West Slovakia,107 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,3,7,35
West Slovakia,108 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,2,5,7
West Slovakia,109 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,5
West Slovakia,110 years or over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,3,3,4,6
Region of Trnava,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555509,556577,557608,558677,559697,561156,562372,563591
Region of Trnava,Zero years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5582,5322,5318,5433,5361,5579,5580,5599
Region of Trnava,1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5370,5622,5376,5372,5482,5423,5665,5645
Region of Trnava,2 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5467,5407,5648,5399,5410,5538,5462,5703
Region of Trnava,3 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5357,5482,5456,5706,5435,5427,5555,5514
Region of Trnava,4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4968,5364,5471,5468,5715,5475,5468,5579
Region of Trnava,5 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5091,5000,5383,5483,5476,5746,5494,5491
Region of Trnava,6 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5054,5090,5007,5381,5495,5495,5746,5498
Region of Trnava,7 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,5059,5124,5022,5404,5504,5505,5751
Region of Trnava,8 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4688,5001,5053,5134,5029,5415,5514,5508
Region of Trnava,9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4633,4689,5017,5064,5144,5038,5419,5520
Region of Trnava,10 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722,4636,4700,5025,5061,5158,5047,5418
Region of Trnava,11 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5095,4732,4638,4702,5023,5056,5177,5056
Region of Trnava,12 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5255,5103,4753,4646,4713,5023,5069,5180
Region of Trnava,13 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5344,5249,5111,4762,4646,4721,5035,5074
Region of Trnava,14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5520,5354,5274,5123,4770,4654,4730,5049
Region of Trnava,15 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5612,5530,5368,5290,5121,4766,4674,4728
Region of Trnava,16 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5932,5613,5539,5372,5295,5127,4773,4685
Region of Trnava,17 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6370,5937,5632,5543,5375,5301,5140,4783
Region of Trnava,18 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7072,6364,5958,5633,5549,5374,5313,5148
Region of Trnava,19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7087,7090,6393,5958,5652,5561,5390,5326
Region of Trnava,20 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7541,7108,7099,6395,5988,5673,5555,5399
Region of Trnava,21 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7892,7564,7114,7118,6431,6002,5680,5563
Region of Trnava,22 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7717,7945,7632,7124,7157,6456,6017,5701
Region of Trnava,23 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8211,7736,7966,7638,7163,7176,6471,6054
Region of Trnava,24 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8126,8210,7759,8009,7667,7205,7214,6507
Region of Trnava,25 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8416,8172,8234,7798,8041,7683,7278,7265
Region of Trnava,26 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8780,8427,8206,8259,7848,8068,7708,7341
Region of Trnava,27 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8984,8794,8419,8204,8302,7858,8078,7768
Region of Trnava,28 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9092,8998,8786,8448,8248,8322,7875,8094
Region of Trnava,29 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9227,9085,9004,8789,8478,8290,8349,7870
Region of Trnava,30 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9210,9275,9069,9014,8801,8501,8308,8351
Region of Trnava,31 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9331,9207,9256,9087,9018,8832,8482,8351
Region of Trnava,32 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9885,9372,9226,9240,9108,9055,8854,8509
Region of Trnava,33 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10041,9902,9385,9242,9270,9133,9078,8871
Region of Trnava,34 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10058,10064,9861,9379,9264,9266,9129,9102
Region of Trnava,35 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10015,10074,10051,9878,9399,9265,9289,9139
Region of Trnava,36 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,10020,10050,10060,9873,9418,9296,9283
Region of Trnava,37 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9718,10005,10001,10048,10053,9882,9439,9298
Region of Trnava,38 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9218,9714,9936,10009,10028,10076,9893,9455
Region of Trnava,39 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8616,9230,9733,9944,10012,10057,10076,9882
Region of Trnava,40 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8085,8630,9259,9705,9937,10017,10043,10096
Region of Trnava,41 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7905,8101,8612,9261,9710,9961,10023,10030
Region of Trnava,42 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7846,7912,8130,8605,9245,9723,9944,10018
Region of Trnava,43 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7420,7836,7934,8122,8606,9261,9735,9949
Region of Trnava,44 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7388,7429,7843,7937,8118,8595,9251,9729
Region of Trnava,45 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7637,7391,7412,7854,7934,8107,8597,9250
Region of Trnava,46 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7827,7633,7381,7406,7860,7927,8102,8606
Region of Trnava,47 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8135,7819,7634,7353,7406,7865,7909,8094
Region of Trnava,48 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7797,8123,7801,7621,7368,7401,7866,7900
Region of Trnava,49 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7635,7792,8118,7782,7613,7356,7388,7853
Region of Trnava,50 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7778,7616,7794,8096,7770,7615,7334,7396
Region of Trnava,51 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7766,7759,7616,7772,8082,7731,7594,7325
Region of Trnava,52 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7667,7738,7739,7592,7750,8066,7693,7568
Region of Trnava,53 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8017,7617,7697,7699,7549,7724,8037,7647
Region of Trnava,54 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8273,7974,7576,7640,7667,7532,7684,7998
Region of Trnava,55 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8550,8215,7943,7536,7612,7641,7494,7643
Region of Trnava,56 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8545,8495,8152,7897,7488,7567,7608,7454
Region of Trnava,57 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,8486,8432,8073,7846,7429,7517,7537
Region of Trnava,58 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8135,8308,8407,8364,8028,7784,7372,7446
Region of Trnava,59 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8007,8062,8246,8338,8293,7972,7713,7319
Region of Trnava,60 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7965,7930,7986,8165,8272,8219,7892,7630
Region of Trnava,61 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7351,7889,7851,7904,8069,8204,8130,7809
Region of Trnava,62 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680,7286,7786,7747,7823,7989,8119,8049
Region of Trnava,63 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6499,6587,7204,7710,7657,7750,7887,8052
Region of Trnava,64 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5930,6410,6492,7111,7577,7537,7650,7807
Region of Trnava,65 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5427,5840,6324,6388,7001,7478,7414,7541
Region of Trnava,66 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5005,5350,5737,6217,6314,6893,7350,7302
Region of Trnava,67 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5055,4906,5250,5638,6092,6199,6782,7200
Region of Trnava,68 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4652,4940,4798,5153,5528,5958,6101,6646
Region of Trnava,69 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,4559,4835,4680,5033,5446,5829,5987
Region of Trnava,70 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4224,4419,4455,4734,4563,4911,5334,5714
Region of Trnava,71 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4274,4116,4316,4330,4618,4439,4785,5203
Region of Trnava,72 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3767,4146,4007,4188,4213,4498,4311,4646
Region of Trnava,73 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3399,3656,4015,3908,4053,4075,4371,4181
Region of Trnava,74 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3172,3267,3536,3849,3768,3932,3928,4229
Region of Trnava,75 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2987,3032,3140,3410,3702,3637,3790,3801
Region of Trnava,76 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2923,2853,2900,3003,3287,3549,3511,3634
Region of Trnava,77 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2778,2779,2712,2771,2843,3137,3383,3357
Region of Trnava,78 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2545,2626,2638,2598,2634,2704,2990,3206
Region of Trnava,79 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511,2404,2469,2510,2424,2480,2560,2826
Region of Trnava,80 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,2334,2226,2296,2332,2273,2337,2402
Region of Trnava,81 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209,2113,2166,2056,2123,2195,2142,2168
Region of Trnava,82 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1898,2021,1937,1980,1888,1961,2023,1982
Region of Trnava,83 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,1687,1842,1765,1804,1715,1783,1855
Region of Trnava,84 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,1481,1507,1640,1575,1626,1568,1598
Region of Trnava,85 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,1338,1309,1363,1443,1404,1451,1412
Region of Trnava,86 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,1099,1146,1164,1191,1251,1229,1262
Region of Trnava,87 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,943,964,999,998,1015,1050,1084
Region of Trnava,88 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,764,805,813,823,844,880,902
Region of Trnava,89 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,699,645,685,685,691,696,728
Region of Trnava,90 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,513,570,537,569,564,564,579
Region of Trnava,91 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,373,417,483,430,459,447,450
Region of Trnava,92 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,261,290,336,378,334,374,349
Region of Trnava,93 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,186,219,221,264,293,271,301
Region of Trnava,94 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,75,150,165,163,200,231,215
Region of Trnava,95 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,52,60,118,129,124,144,183
Region of Trnava,96 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,34,43,54,84,102,89,112
Region of Trnava,97 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,35,31,35,42,61,81,68
Region of Trnava,98 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,27,24,30,32,47,59
Region of Trnava,99 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,19,16,18,26,29,39
Region of Trnava,100 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,16,17,13,14,22,22
Region of Trnava,101 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,12,13,15,12,9,21
Region of Trnava,102 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,14,10,13,13,10,7
Region of Trnava,103 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,12,9,13,12,10
Region of Trnava,104 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,12,8,13,12
Region of Trnava,105 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,10,7,11
Region of Trnava,106 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,8,7
Region of Trnava,107 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,8
Region of Trnava,108 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,3
Region of Trnava,109 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
Region of Trnava,110 years or over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2
Region of Trenèín,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594186,593159,592394,591233,589935,588816,587364,585882
Region of Trenèín,Zero years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5882,5171,5439,5167,5268,5451,5443,5352
Region of Trenèín,1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5563,5926,5229,5479,5228,5360,5517,5532
Region of Trenèín,2 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5551,5574,5931,5237,5482,5229,5364,5543
Region of Trenèín,3 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5394,5569,5581,5929,5221,5495,5268,5348
Region of Trenèín,4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5225,5386,5561,5584,5932,5234,5496,5294
Region of Trenèín,5 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5018,5231,5407,5552,5594,5934,5250,5520
Region of Trenèín,6 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5066,5031,5222,5390,5555,5585,5949,5243
Region of Trenèín,7 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5101,5055,5023,5214,5389,5562,5596,5967
Region of Trenèín,8 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4717,5102,5060,5024,5215,5392,5553,5600
Region of Trenèín,9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4763,4718,5107,5058,5014,5213,5398,5541
Region of Trenèín,10 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4895,4767,4715,5111,5053,5019,5216,5395
Region of Trenèín,11 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5463,4884,4786,4716,5105,5046,5031,5208
Region of Trenèín,12 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5576,5461,4886,4785,4717,5101,5052,5030
Region of Trenèín,13 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5472,5580,5473,4887,4776,4709,5105,5051
Region of Trenèín,14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5857,5472,5584,5465,4891,4785,4723,5098
Region of Trenèín,15 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6015,5853,5476,5573,5460,4893,4771,4720
Region of Trenèín,16 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6245,6010,5857,5466,5564,5459,4892,4771
Region of Trenèín,17 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7118,6236,6034,5855,5456,5567,5458,4886
Region of Trenèín,18 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7911,7114,6245,6030,5846,5455,5566,5458
Region of Trenèín,19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8027,7910,7125,6248,6048,5842,5457,5578
Region of Trenèín,20 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8431,8018,7917,7119,6253,6058,5836,5461
Region of Trenèín,21 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8696,8414,8023,7905,7107,6244,6057,5827
Region of Trenèín,22 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8608,8682,8438,8000,7907,7084,6240,6064
Region of Trenèín,23 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9019,8600,8683,8430,7995,7907,7078,6230
Region of Trenèín,24 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9225,9014,8598,8667,8399,7982,7888,7046
Region of Trenèín,25 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9286,9176,8993,8557,8595,8371,7917,7862
Region of Trenèín,26 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9522,9248,9143,8935,8520,8542,8321,7878
Region of Trenèín,27 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9449,9479,9170,9078,8878,8459,8466,8273
Region of Trenèín,28 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9512,9387,9403,9119,8994,8802,8359,8358
Region of Trenèín,29 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9553,9448,9266,9303,9048,8895,8723,8264
Region of Trenèín,30 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9662,9489,9399,9189,9231,8947,8838,8609
Region of Trenèín,31 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9647,9615,9402,9333,9112,9173,8889,8739
Region of Trenèín,32 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10433,9607,9551,9360,9272,9045,9088,8832
Region of Trenèín,33 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10224,10405,9498,9491,9330,9222,8966,9002
Region of Trenèín,34 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10029,10186,10318,9456,9431,9286,9188,8915
Region of Trenèín,35 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9890,9990,10113,10265,9400,9385,9258,9148
Region of Trenèín,36 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9818,9861,9929,10080,10195,9370,9336,9222
Region of Trenèín,37 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9658,9808,9831,9911,10040,10182,9337,9327
Region of Trenèín,38 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9170,9642,9789,9813,9860,10019,10152,9324
Region of Trenèín,39 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8687,9149,9606,9751,9795,9852,9983,10116
Region of Trenèín,40 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8329,8664,9137,9584,9735,9748,9814,9967
Region of Trenèín,41 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8066,8307,8656,9118,9557,9712,9720,9809
Region of Trenèín,42 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7963,8049,8274,8653,9106,9538,9683,9680
Region of Trenèín,43 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7844,7949,8051,8259,8654,9061,9516,9668
Region of Trenèín,44 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7954,7825,7930,8026,8235,8643,9047,9504
Region of Trenèín,45 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8132,7946,7808,7890,8019,8221,8617,9041
Region of Trenèín,46 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8424,8109,7938,7785,7873,7995,8206,8589
Region of Trenèín,47 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8840,8391,8079,7916,7777,7846,7985,8185
Region of Trenèín,48 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8632,8819,8373,8043,7888,7745,7820,7958
Region of Trenèín,49 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8391,8584,8783,8355,8021,7861,7710,7808
